carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2266.205522429637
0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,2327.8449345939757
0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,2198.302449029216
0.27,Ideal,G,VVS2,62.8,56.0,4.12,4.16,2.6,573.9852693057951
0.52,Ideal,G,VVS2,61.0,56.0,5.24,5.18,3.18,2431.1574327476033
0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,2780.501256491731
0.6,Ideal,G,VVS2,62.0,57.0,5.41,5.46,3.37,3126.415091656713
0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,3.373928874320427
0.54,Ideal,E,VVS2,62.2,54.0,5.23,5.26,3.26,3273.8937353826473
0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,2275.8020571180655
1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,4472.848016180262
1.03,Very Good,G,SI1,62.6,56.0,6.41,6.44,4.02,5076.76843205254
0.53,Very Good,F,SI1,62.5,57.0,5.19,5.24,3.26,1033.421261390577
0.4,Ideal,G,VVS1,62.0,55.0,4.74,4.78,2.95,2011.8329739484257
0.64,Premium,H,SI1,60.0,59.0,5.63,5.57,3.36,1411.8241694199746
0.35,Very Good,H,VS2,60.1,56.0,4.61,4.64,2.78,-577.3687885401505
0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,3131.010559389479
1.09,Good,H,SI1,63.2,57.0,6.54,6.57,4.14,5129.8032207798515
0.73,Ideal,I,SI1,61.7,55.0,5.78,5.82,3.58,2062.409640291646
0.9,Very Good,F,VS2,63.1,59.0,6.13,6.05,3.84,4766.253608247518
1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,4510.317778365152
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49,3074.4783129245666
1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,4546.724119386199
0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,3966.4390935249053
0.49,Very Good,H,VVS2,62.3,57.0,5.02,5.05,3.14,1611.3617295144327
1.06,Ideal,I,VVS1,60.2,57.0,6.62,6.66,4.0,6944.441209313125
0.54,Good,D,SI1,63.7,57.0,5.22,5.14,3.3,1625.9412450079085
0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,802.8578933852991
0.41,Ideal,E,VS1,62.1,56.0,4.78,4.75,2.96,1732.8141231492632
0.5,Good,E,VVS2,61.6,62.0,5.04,5.09,3.12,2506.312183144881
1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,4508.957999866341
0.44,Ideal,E,SI1,61.1,56.0,4.92,4.9,3.0,934.863382132587
0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,4087.042633235768
0.56,Ideal,D,VS2,61.9,57.0,5.26,5.3,3.27,2768.492486546563
0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,313.0970642610823
0.81,Very Good,F,VVS2,63.1,56.0,5.99,5.9,3.75,4942.637733674515
0.72,Ideal,I,VS2,61.8,56.0,5.72,5.77,3.56,2503.8108829558846
0.41,Ideal,D,VS2,62.4,55.0,4.76,4.79,2.98,1551.3974645075027
1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95,4337.684606800794
1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,5893.11193148549
1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,10449.70594480237
0.72,Ideal,H,VVS1,62.5,57.0,5.7,5.73,3.57,4362.921357244766
0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2213.6820990901465
1.09,Very Good,G,VS2,60.9,56.0,6.67,6.7,4.07,6030.684726597403
1.22,Very Good,I,VS1,61.6,60.0,6.86,6.8,4.21,7127.82122887474
0.31,Ideal,D,VS1,60.5,55.0,4.43,4.39,2.67,1255.613801185706
0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,2717.532330589917
0.3,Premium,F,VS2,60.7,58.0,4.35,4.32,2.63,-106.58147672976293
1.31,Premium,J,SI1,60.7,58.0,7.11,7.06,4.3,6714.279427339956
1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,4597.867162442079
1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,6442.239646811637
2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,14830.645164270025
0.72,Good,F,SI1,60.4,61.0,5.75,5.8,3.49,2467.483183205774
1.0,Fair,F,VS2,64.7,59.0,6.22,6.15,4.0,5422.137704907584
0.53,Good,I,VS1,64.3,55.0,5.17,5.13,3.31,949.697351022302
2.01,Very Good,G,SI1,63.1,59.0,8.03,7.98,5.05,14157.732553275599
0.32,Ideal,D,VVS2,61.3,55.8,4.43,4.44,2.71,1856.877582310493
1.04,Ideal,H,SI1,62.7,54.0,6.51,6.47,4.07,5121.354705293143
1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,9585.872428568133
1.0,Good,H,SI1,63.7,60.0,6.33,6.3,4.02,4348.852677973853
0.31,Ideal,D,IF,61.1,56.0,4.39,4.42,2.69,2789.6679165875707
2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,14534.779707576314
0.36,Ideal,F,VS1,61.3,54.0,4.63,4.65,2.84,984.0176816169856
0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92,502.693312275484
0.33,Premium,G,VS1,61.6,58.0,4.44,4.39,2.72,331.5913329312875
0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,1094.359243264154
0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,-203.5080633722764
1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92,5808.779142682399
0.33,Fair,H,VVS2,65.1,59.0,4.4,4.32,2.84,70.91313092299242
1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,10619.201698899005
0.81,Very Good,I,VS1,63.2,59.0,5.9,5.84,3.71,3523.728399474669
0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,1088.012502082945
1.11,Very Good,H,VS1,63.2,57.0,6.61,6.53,4.15,6481.79858554217
0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,921.0544938531934
0.33,Good,I,VS1,63.1,56.0,4.38,4.4,2.77,-603.5084109009163
0.27,Fair,E,VS1,66.4,58.0,3.99,4.02,2.66,165.2299687980685
1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,10153.388366981562
0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,325.8475121066881
1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,9445.64212669656
0.3,Very Good,E,VS2,61.9,61.0,4.28,4.32,2.66,91.31046784703585
0.64,Very Good,D,SI1,63.7,54.0,5.47,5.52,3.5,2630.206744218944
0.9,Good,F,SI1,62.8,64.0,6.18,5.99,3.82,4086.7759839336845
1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,3915.096348187199
1.01,Ideal,D,VS2,59.8,56.0,6.49,6.52,3.89,6607.821176896798
0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,429.4419480383008
1.0,Fair,F,VS2,68.4,58.0,5.97,6.1,4.13,5554.051323402369
0.31,Very Good,G,SI1,61.5,59.0,4.34,4.38,2.68,-996.7408651296955
1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,5530.801135061425
1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4875.736360685578
0.91,Premium,G,VVS2,61.8,58.0,6.24,6.16,3.83,5645.832541371243
0.31,Very Good,E,VVS1,60.0,56.0,4.45,4.49,2.68,1600.7041663896148
0.8,Very Good,E,SI1,62.9,60.0,5.87,5.89,3.7,3702.5909580732227
1.02,Very Good,D,SI1,62.7,60.0,6.34,6.39,3.99,5983.823676180056
1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,6095.319453275073
0.34,Premium,D,SI1,62.8,58.0,4.48,4.44,2.8,360.76456681185255
1.0,Ideal,G,VS2,62.3,54.0,6.42,6.38,3.99,5596.290329583089
0.73,Ideal,G,VS2,61.7,56.0,5.79,5.81,3.58,3210.710342172573
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82,-265.3019527555307
1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,4007.6145845095266
0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,2130.9340783757893
1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,4759.612999113599
0.8,Very Good,G,VVS2,62.5,56.0,5.95,5.98,3.73,4522.047540727572
0.31,Very Good,H,SI1,61.0,61.0,4.33,4.39,2.66,-1316.035609350101
2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02,14570.625988139413
1.5,Premium,J,VVS2,61.5,60.0,7.31,7.27,4.48,10066.490154241585
1.22,Premium,I,SI2,62.5,58.0,6.8,6.76,4.24,5803.7384645838465
0.72,Very Good,I,VS2,61.8,60.0,5.72,5.76,3.55,2187.618727238411
0.3,Good,G,SI2,63.3,57.0,4.25,4.28,2.7,-1703.8048810684372
0.54,Good,E,VS2,60.2,61.0,5.27,5.32,3.19,1753.4288159952916
1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,5465.795847797761
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.29,4.0,5735.131692383207
0.3,Ideal,G,IF,60.9,56.0,4.34,4.36,2.65,1754.0533327799826
1.19,Premium,I,SI2,61.6,56.0,6.87,6.83,4.22,5446.049393178879
1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,8187.6264112273
1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,3659.389071279959
3.22,Ideal,I,I1,62.6,55.0,9.49,9.42,5.92,24377.86037383143
0.41,Ideal,E,SI1,62.9,57.0,4.76,4.72,2.98,734.8539448864699
0.52,Very Good,D,SI2,62.4,59.0,5.05,5.15,3.18,1153.0352665936366
1.52,Premium,D,SI1,60.8,61.0,7.39,7.26,4.45,10650.991539857574
0.36,Ideal,H,VVS1,62.0,54.0,4.59,4.61,2.85,1379.0934063872487
0.51,Premium,D,SI1,62.7,59.0,5.08,5.06,3.18,1716.2598786940239
0.53,Premium,J,VS2,62.7,56.0,5.18,5.15,3.24,430.1827257063783
1.01,Good,F,SI2,61.3,62.0,6.44,6.48,3.96,4504.574274135537
0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1346.206641015799
0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,-284.36118827978316
1.04,Premium,G,VS2,62.2,58.0,6.49,6.4,4.01,5813.677799151776
0.39,Premium,E,VS2,60.1,61.0,4.76,4.72,2.85,875.2499076687795
1.01,Premium,F,VS1,61.7,58.0,6.4,6.43,3.96,6370.8436798770745
0.3,Very Good,F,VVS1,62.6,56.0,4.27,4.29,2.68,1298.850376741903
1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,12639.206137387931
1.1,Premium,H,VS2,61.4,58.0,6.68,6.62,4.08,5980.152854772181
1.15,Ideal,H,SI2,62.6,55.0,6.74,6.65,4.19,5609.10521777157
0.32,Ideal,H,VS1,61.8,55.0,4.41,4.42,2.73,73.9686583640123
2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,13740.41992790369
0.24,Very Good,G,VVS1,61.7,56.0,3.98,4.02,2.46,545.612071372338
0.41,Very Good,E,SI2,62.9,58.0,4.74,4.77,2.99,-88.75043706604538
0.28,Very Good,D,VVS1,60.6,58.0,4.23,4.25,2.57,1763.3345403913213
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,108.08775128899242
0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,614.3383672304467
0.44,Very Good,E,VS1,60.7,58.0,4.88,4.91,2.97,1647.9346034583864
0.37,Ideal,F,VVS1,61.3,56.0,4.65,4.68,2.86,2085.5722958113934
0.9,Premium,G,VS2,62.4,61.0,6.17,6.13,3.84,4568.880302584439
0.53,Ideal,F,SI2,62.2,53.0,5.19,5.22,3.24,848.3833753321646
0.54,Premium,I,IF,58.8,61.0,5.35,5.29,3.13,2773.923426783546
1.0,Very Good,E,VS2,59.0,58.0,6.49,6.53,3.84,5862.039017654433
0.32,Ideal,F,IF,61.3,57.0,4.42,4.46,2.72,2226.509792088062
1.23,Premium,H,SI2,61.2,57.0,6.89,6.86,4.21,6167.680012878796
1.02,Very Good,E,SI2,62.8,55.0,6.4,6.43,4.03,5118.173474864992
0.56,Premium,E,VVS2,59.2,56.0,5.49,5.39,3.22,3171.0194753343144
0.43,Ideal,H,IF,62.2,55.0,4.87,4.84,3.02,2432.1042315747504
0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,1975.5714452042116
0.38,Very Good,G,SI1,61.8,53.7,4.67,4.69,2.9,-489.14628833058987
0.9,Very Good,I,VVS1,63.4,57.0,6.09,6.12,3.87,5325.881717452252
1.72,Premium,H,SI1,62.0,57.0,7.67,7.63,4.74,11229.494585384839
0.31,Very Good,H,SI1,61.7,59.0,4.36,4.39,2.7,-1330.797034594662
2.02,Premium,F,SI2,61.0,59.0,8.2,8.13,4.98,14125.823724816079
0.56,Ideal,E,VVS2,61.0,56.0,5.32,5.36,3.26,3418.9948485986392
0.42,Ideal,G,IF,62.0,57.0,4.82,4.8,2.98,2682.668435226728
0.34,Very Good,I,SI1,61.3,61.0,4.45,4.49,2.74,-1404.5363564576287
0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,1257.6478697517146
1.51,Fair,J,SI1,63.4,60.0,7.31,7.18,4.59,8189.435708832303
0.32,Very Good,G,VS2,60.2,57.0,4.42,4.45,2.67,-438.40158123978154
1.24,Premium,G,VS1,62.0,55.0,6.95,6.89,4.29,8078.558684407641
0.31,Ideal,E,VS1,61.4,56.0,4.38,4.35,2.68,964.9026987481589
1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,9541.24581106306
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98,4424.557090108427
0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,1709.8212230562644
1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,6288.192853649181
0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,579.5929461868168
0.52,Premium,G,SI1,59.7,60.0,5.22,5.2,3.11,758.7381743736682
0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13,2001.3363848997792
0.3,Premium,D,SI1,61.7,59.0,4.28,4.31,2.65,67.94085250342505
0.39,Good,D,VVS2,58.1,60.0,4.82,4.85,2.81,1840.1870696936817
0.38,Premium,G,IF,62.5,60.0,4.64,4.61,2.89,2231.699608498981
1.01,Premium,F,SI2,58.3,58.0,6.56,6.55,3.82,4751.038639126635
1.36,Ideal,G,SI1,60.9,56.0,7.15,7.16,4.36,8321.05708879451
1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18,6287.0718351234445
0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,1808.5615901820179
0.41,Premium,D,VVS1,62.2,58.0,4.77,4.71,2.95,2921.4467837022644
2.03,Premium,J,VS1,59.3,60.0,8.36,8.28,4.93,14353.959110980604
0.36,Ideal,D,SI1,62.5,56.0,4.55,4.57,2.85,669.3518373212305
0.4,Premium,D,SI1,61.4,56.0,4.83,4.72,2.93,760.2648023903716
2.11,Premium,D,SI2,60.9,60.0,8.28,8.21,5.02,15649.436803238726
1.06,Ideal,H,SI1,63.0,55.0,6.49,6.44,4.08,5343.725572193474
0.33,Good,I,VS1,63.2,57.0,4.37,4.4,2.77,-598.5879358193956
0.72,Premium,E,IF,61.3,60.0,5.74,5.71,3.51,5661.689601178643
1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,8339.520219379941
1.0,Premium,G,VS2,62.9,56.0,6.42,6.27,3.99,5456.887908783587
1.02,Ideal,F,SI1,62.8,55.0,6.43,6.4,4.03,5610.861814142705
0.43,Ideal,E,SI2,62.1,56.0,4.85,4.84,3.01,369.8232748697983
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,3620.1945141844167
1.7,Premium,I,SI1,58.6,59.0,7.79,7.75,4.55,10619.460962036532
0.72,Ideal,D,SI2,61.1,58.0,5.76,5.79,3.53,3079.600467800042
1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,6939.058089511567
1.06,Good,F,VS1,58.5,57.0,6.68,6.73,3.92,6379.659604503084
1.11,Ideal,H,SI1,60.2,54.0,6.82,6.7,4.07,5653.033018586131
1.01,Premium,H,SI2,61.9,59.0,6.42,6.37,3.96,4207.101817491175
1.06,Premium,G,VVS1,61.1,58.0,6.53,6.57,4.0,7490.63210968573
1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,9877.354503689214
0.56,Very Good,E,SI1,58.5,59.0,5.42,5.45,3.18,1516.0811992025579
0.25,Good,F,VS1,63.6,57.0,4.01,4.04,2.56,-218.8091688170657
0.9,Ideal,D,SI1,61.6,56.0,6.19,6.21,3.82,5164.5163444767295
0.56,Fair,E,SI2,64.5,61.0,5.18,5.14,3.33,864.8198075322821
0.31,Ideal,F,IF,60.8,56.0,4.43,4.45,2.7,2119.775229366284
0.39,Very Good,D,VS2,60.2,59.0,4.74,4.76,2.86,1041.418083672556
1.01,Premium,F,VS1,59.4,60.0,6.5,6.46,3.85,6316.297884187807
2.02,Ideal,I,SI1,62.4,56.0,8.07,8.11,5.05,13891.6033230812
1.03,Ideal,D,SI2,61.2,57.0,6.51,6.59,4.01,5779.564487257596
1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,10799.592159380436
0.31,Very Good,D,IF,62.0,56.0,4.33,4.35,2.69,2513.680701107353
0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1616.2261393451222
0.3,Ideal,E,VS2,62.4,57.0,4.29,4.24,2.66,418.6052831051861
1.22,Very Good,D,SI2,62.2,58.0,6.85,6.91,4.28,7205.618967854352
0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,546.7238677345154
0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,2735.694776493578
1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,7417.79480239998
0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,1149.4450370599056
0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,-527.7232826742015
1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,5528.309057035984
1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,9906.535744217259
0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,1730.327368046514
0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,73.45978235844495
1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,9409.228927364946
1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,7865.06417631246
0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,1418.44744413126
0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,-693.8415467804984
1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,9573.325179920495
0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,1940.9171363508453
1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9191.817705876041
1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,5462.67622417205
1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,5364.01559026959
1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,11213.652598517672
0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,4250.426697949126
1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6063.8468169741045
0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,972.231826440539
0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,2886.7814007024776
0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,-1199.771000852042
0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,4669.268124125008
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,3543.7087319569205
0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,3967.1245832677873
0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,1841.5265649682246
1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,10340.5881147439
1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,4764.7120199292385
0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,727.0849181716535
1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,3442.6096241177825
0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,3950.7816546741165
1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,11838.613721925338
1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,10952.174289505123
0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,2032.066153381888
0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,1480.9793045510755
1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,9313.025339878079
0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,1784.2963591523826
1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,8372.61516009133
0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,4695.1088722053555
1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,11979.97462153499
0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,-593.4960470165256
0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,1611.0496511931083
1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,7636.048480232934
0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,1250.5389315217567
0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,2073.6651603381483
0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,4462.076418721344
1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7677.552322665606
1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,5279.13358119646
1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5710.925818252943
0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3120.8970191412723
1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,9569.401954996925
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,14632.508918168538
0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,-541.0968361346168
0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,921.8309978202665
0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,1949.6851265914997
0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,1004.9335159416228
0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,941.8064495040749
1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,3739.523414178942
0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1519.5636690753822
1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,5489.661866916347
1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,10332.371087015636
1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,4232.545332483867
0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,2308.440423826282
1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,6356.95366029021
1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,6613.577910764967
0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,-420.6621945109214
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,4077.967112893383
0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,476.6537339254801
0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,4094.0854830963212
1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,6105.2264758236615
0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,463.7287222231039
0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,1399.2970957624689
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,4632.190714229329
0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,2292.476187995349
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,-1106.1127333690765
1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,6907.0545559478305
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,1385.3603317086759
0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,562.3237232417255
1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,7093.530447214935
0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,1335.8946870245386
1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,7878.675949001359
1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,5980.505304921173
2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,13327.040608269754
0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2473.76582820229
0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,347.49482061063054
0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,1903.9616717145577
0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,227.47469273520346
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,8003.183729875354
0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,3497.742177053055
0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,1113.5443232886596
0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,-305.5068929927843
0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,113.19328625701792
0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,3917.111349045013
1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,5427.396639814759
0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,445.20906959000376
1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,10007.671517020191
0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1522.7755097343183
0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,346.7733279683939
0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,3099.8843069251584
0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,1122.6486005677002
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,5102.7559699218455
1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,4044.95493553214
1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,6184.800097511519
0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,2780.5981343832077
0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,1822.1339726008214
1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,9790.602984083396
1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,3503.7050134055085
0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,2325.0705035752203
1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,5090.9144647099
0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,5101.990538789922
0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,3030.541720491365
